adjective	form	category	text	genre	publication_date	corpus	pattern	position	than_compl	definite	verb_pattern	coordinated	page	text_details
easy	s	C	asil	fiction	1970	A	b2	predicative	0	0	0	0	257	A. Sillitoe, A start in life
clumsy	a	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	46	A. Sillitoe, A start in life
shaky	s	C	asil	fiction	1970	A	b2	predicative	0	0	0	0	325	A. Sillitoe, A start in life
pure	a	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	243	A. Sillitoe, A start in life
easy	s	C	asil	fiction	1970	A	c3	postnominal	1	0	1	0	84	A. Sillitoe, A start in life
shifty	s	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	233	A. Sillitoe, A start in life
wary	a	C	asil	fiction	1970	A	i1	NA	NA	NA	NA	NA	259	A. Sillitoe, A start in life
sorry	a	C	asil	fiction	1970	A	b2	predicative	0	0	0	0	287	A. Sillitoe, A start in life
easy	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	95	A. Sillitoe, A start in life
tricky	s	S	asil	fiction	1970	A	m	attributive	NA	NA	NA	1	311	A. Sillitoe, A start in life
friendly	a	C	asil	fiction	1970	A	b2	predicative	0	0	0	0	83	A. Sillitoe, A start in life
happy	s	C	asil	fiction	1970	A	a2	attributive	0	0	0	0	295	A. Sillitoe, A start in life
heavy	s	C	asil	fiction	1970	A	a2	attributive	0	0	0	0	78	A. Sillitoe, A start in life
rotten	s	C	asil	fiction	1970	A	b2	predicative	0	0	0	0	336	A. Sillitoe, A start in life
hungry	s	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	179	A. Sillitoe, A start in life
dirty	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	120	A. Sillitoe, A start in life
happy	s	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	296	A. Sillitoe, A start in life
happy	s	C	asil	fiction	1970	A	i1	NA	NA	NA	NA	NA	141	A. Sillitoe, A start in life
cosy	s	C	asil	fiction	1970	A	a2	attributive	0	0	0	0	18	A. Sillitoe, A start in life
happy	s	C	asil	fiction	1970	A	a2	attributive	0	0	0	0	346	A. Sillitoe, A start in life
noble	a	C	asil	fiction	1970	A	i1	NA	NA	NA	NA	NA	135	A. Sillitoe, A start in life
easy	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	112	A. Sillitoe, A start in life
sincere	a	C	asil	fiction	1970	A	b2	predicative	0	0	0	0	101	A. Sillitoe, A start in life
remote	a	C	asil	fiction	1970	A	f1	postnominal	1	0	0	1	298	A. Sillitoe, A start in life
easy	s	C	asil	fiction	1970	A	c4	postnominal	0	0	1	0	285	A. Sillitoe, A start in life
able	a	C	asil	fiction	1970	A	h2	predicative	0	NA	NA	NA	255	A. Sillitoe, A start in life
quiet	a	C	asil	fiction	1970	A	f1	postnominal	1	0	0	1	298	A. Sillitoe, A start in life
funny	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	338	A. Sillitoe, A start in life
hungry	s	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	214	A. Sillitoe, A start in life
homely	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	29	A. Sillitoe, A start in life
snappy	a	S	asil	fiction	1970	A	n	predicative	NA	NA	NA	0	186	A. Sillitoe, A start in life
simple	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	42	A. Sillitoe, A start in life
greedy	s	C	asil	fiction	1970	A	c1	postnominal	1	0	0	0	47	A. Sillitoe, A start in life
homely	a	C	asil	fiction	1970	A	f1	postnominal	1	0	0	1	236	A. Sillitoe, A start in life
easy	a	C	asil	fiction	1970	A	e2	predicative	0	0	0	1	110	A. Sillitoe, A start in life
able	a	C	asil	fiction	1970	A	h2	predicative	0	NA	NA	NA	255	A. Sillitoe, A start in life
intense	a	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	253	A. Sillitoe, A start in life
stupid	s	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	174	A. Sillitoe, A start in life
heavy	s	S	asil	fiction	1970	A	l	attributive	NA	NA	NA	0	126	A. Sillitoe, A start in life
jumpy	a	C	asil	fiction	1970	A	d2	attributive	0	0	0	1	323	A. Sillitoe, A start in life
easy	s	C	asil	fiction	1970	A	c4	postnominal	0	0	1	0	28	A. Sillitoe, A start in life
healthy	s	C	asil	fiction	1970	A	b1	predicative	1	0	0	0	373	A. Sillitoe, A start in life
subtle	a	C	asil	fiction	1970	A	e2	predicative	0	0	0	1	46	A. Sillitoe, A start in life
