order_braun;adjective;shorthand;text;page;corpus;
1;able;KA;asil;255;A;
2;able;KA;asil;255;A;
3;able;KA;sta;16;A;
4;able;KA;stb;15;A;
5;able;KA;std;30;A;
6;able;KS;stc;28;A;
7;able;SS;cop;106;A;
8;able;SS;stb;4;A;
9;acute;KA;sta;53;A;
10;acute;KA;sta;62;A;
11;angry;KA;cop;152;A;
12;angry;KA;cop;294;A;
13;austere;KA;bow;82;A;
14;austere;KA;bow;177;A;
15;austere;SA;bow;189;A;
16;austere;SA;cop;104;A;
17;bitter;KA;was;278;A;
18;bitter;KA;cop;112;A;
19;bitter;KA;cop;330;A;
20;bitter;SA;stb;4;A;
21;bitter;SS;cop;228;A;
22;busy;KS;sec;3;A;
23;busy;KS;stc;48;A;
24;busy;SS;cop;223;A;
25;busy;SS;gc;220;A;
26;cagey;KA;cop;40;A;
27;catchy;SS;seb;18;A;
28;clever;KS;sea;18;A;
29;clever;KS;cop;220;A;
30;clever;KS;stc;28;A;
31;clever;SS;sec;28;A;
32;clever;SS;sta;30;A;
33;clumsy;KS;bow;236;A;
34;clumsy;SA;bow;53;A;
35;clumsy;SA;asil;46;A;
36;common;KA;was;97;A;
37;common;KA;bow;157;A;
38;common;KA;sta;59;A;
39;common;KS;was;82;A;
40;common;KS;was;242;A;
41;common;KS;bow;222;A;
42;common;KS;cop;76;A;
43;common;KS;stb;39;A;
44;common;KS;stc;21;A;
45;common;SA;sea;22;A;
46;common;SA;stc;11;A;
47;common;SA;stc;43;A;
48;common;SA;stc;48;A;
49;common;SS;was;66;A;a1
50;common;SS;was;80;A;
51;common;SS;was;85;A;
52;common;SS;was;97;A;
53;common;SS;bow;35;A;
54;common;SS;stc;26;A;
55;common;SS;stc;26;A;
56;compact;KA;sea;3;A;
57;costly;KA;bow;152;A;
58;costly;KS;sta;59;A;
59;cosy;KS;asil;18;A;
60;crazy;SS;sma;4;A;
61;cruel;SA;seb;11;A;
62;cruel;SA;stb;13;A;
63;crusty;SS;smb;27;A;a1
64;deadly;KA;stc;23;A;
65;deadly;KS;was;215;A;
66;dingy;KS;std;56;A;
67;dire;SS;seb;3;A;
68;dirty;SS;asil;120;A;
69;dirty;SS;smc;23;A;
70;dirty;SS;stc;41;A;
71;dirty;SS;std;37;A;
72;discreet;KA;smc;32;A;
73;discreet;KA;stc;43;A;
74;discreet;KS;std;17;A;
75;discreet;SA;cop;229;A;
76;dishy;SS;smb;19;A;
77;dishy;SS;smb;26;A;
78;dolly;KS;seb;2;A;
79;early;KS;was;32;A;
80;early;KS;was;42;A;
81;early;KS;was;66;A;
82;early;KS;was;261;A;
83;early;KS;was;273;A;
84;early;KS;aw;24;A;
85;early;KS;sea;27;A;
86;early;KS;seb;1;A;
87;early;KS;seb;27;A;
88;early;KS;sec;27;A;
89;early;KS;sma;25;A;
90;early;KS;smb;5;A;
91;early;KS;cop;234;A;
92;early;KS;sta;2;A;
93;early;KS;sta;4;A;
94;early;KS;sta;13;A;
95;early;KS;sta;15;A;
96;early;KS;sta;31;A;
97;early;KS;sta;37;A;
98;early;KS;sta;38;A;
99;early;KS;sta;42;A;
100;early;KS;stb;8;A;
101;early;KS;stb;11;A;
102;early;KS;stb;11;A;
103;early;KS;stb;20;A;
104;early;KS;stb;20;A;
105;early;KS;stb;31;A;
106;early;KS;stb;41;A;
107;early;KS;stc;12;A;
108;early;KS;stc;24;A;
109;early;KS;stc;30;A;
110;early;KS;stc;36;A;
111;early;KS;stc;41;A;
112;early;KS;stc;42;A;
113;early;KS;std;1;A;
114;early;KS;std;11;A;
115;early;KS;std;16;A;
116;early;KS;std;28;A;
117;early;KS;std;36;A;
118;early;KS;std;39;A;
119;early;KS;std;41;A;
120;early;KS;std;52;A;
121;early;KS;std;52;A;
122;early;SS;was;54;A;
123;early;SS;was;85;A;
124;early;SS;was;90;A;
125;early;SS;was;158;A;
126;early;SS;was;233;A;
127;early;SS;sea;9;A;
128;early;SS;sec;1;A;
129;early;SS;sec;6;A;
130;early;SS;cop;33;A;
131;early;SS;cop;128;A;
132;early;SS;cop;247;A;
133;early;SS;sta;37;A;
;early;SS;stc;13;A;
134;early;SS;stc;29;A;
135;early;SS;stc;30;A;
136;early;SS;std;1;A;
137;early;SS;std;39;A;
138;early;SS;std;39;A;
139;early;SS;std;52;A;
140;easy;KA;bow;210;A;
141;easy;KA;asil;110;A;
142;easy;KS;was;24;A;
143;easy;KS;was;156;A;
144;easy;KS;was;274;A;
145;easy;KS;bow;27;A;
146;easy;KS;bow;33;A;
147;easy;KS;bow;33;A;
148;easy;KS;bow;106;A;
149;easy;KS;bow;109;A;
150;easy;KS;bow;171;A;
151;easy;KS;bow;193;A;
