order_braun;pattern;text;adjective;form;page;category;corpus
1;a1;was;early;s;273;C;A
2;a1;bow;clumsy;s;236;C;A
3;a1;aw;early;s;24;C;A
4;a1;seb;heavy;s;11;C;A
5;a1;sta;heavy;s;32;C;A
6;a1;sta;silly;s;39;C;A
7;a1;std;sublime;a;36;C;A
8;a2;was;easy;s;24;C;A
9;a2;was;early;s;42;C;A
10;a2;was;simple;s;53;C;A
11;a2;was;simple;s;64;C;A
12;a2;was;simple;s;83;C;A
13;a2;was;heavy;s;135;C;A
14;a2;was;heavy;s;190;C;A
15;a2;was;simple;s;240;C;A
16;a2;was;bitter;a;278;C;A
17;a2;bow;stumpy;s;53;C;A
18;a2;bow;austere;a;82;C;A
19;a2;bow;gentle;a;112;C;A
20;a2;asil;cosy;s;18;C;A
21;a2;asil;heavy;s;78;C;A
22;a2;asil;happy;s;295;C;A
23;a2;asil;happy;s;346;C;A
24;a2;dr;humble;s;94;C;A
25;a2;sea;quiet;s;12;C;A
26;a2;sea;clever;s;18;C;A
27;a2;seb;early;s;1;C;A
28;a2;seb;happy;s;3;C;A
29;a2;seb;happy;s;19;C;A
30;a2;sec;early;s;27;C;A
31;a2;sma;happy;s;11;C;A
32;a2;sma;early;s;25;C;A
33;a2;smb;early;s;5;C;A
34;a2;cop;petty;s;47;C;A
35;a2;cop;humble;s;76;C;A
36;a2;cop;simple;s;175;C;A
37;a2;cop;simple;s;188;C;A
38;a2;sta;early;s;2;C;A
39;a2;sta;early;s;4;C;A
40;a2;sta;early;s;13;C;A
41;a2;sta;early;s;15;C;A
42;a2;sta;simple;s;21;C;A
43;a2;sta;remote;s;30;C;A
44;a2;stb;early;s;8;C;A
45;a2;stb;early;s;20;C;A
46;a2;stb;happy;s;41;C;A
47;a2;stb;gloomy;a;41;C;A
48;a2;stc;early;s;12;C;A
49;a2;stc;deadly;a;23;C;A
50;a2;stc;easy;s;23;C;A
51;a2;stc;early;s;24;C;A
52;a2;stc;early;s;41;C;A
53;a2;stc;sunny;s;42;C;A
54;a2;stc;discreet;a;43;C;A
55;a2;std;likely;s;4;C;A
56;a2;std;early;s;11;C;A
57;a2;std;heavy;s;15;C;A
58;a2;std;early;s;39;C;A
59;a2;std;early;s;41;C;A
60;a2;std;simple;s;54;C;A
61;a2;std;sour;s;55;C;A
62;a3;was;lucky;s;24;C;A
63;a3;was;early;s;32;C;A
64;a3;was;early;s;66;C;A
65;a3;was;heavy;s;138;C;A
66;a3;was;deadly;s;215;C;A
67;a3;was;heavy;s;222;C;A
68;a3;was;common;s;242;C;A
69;a3;was;early;s;261;C;A
70;a3;was;heavy;s;261;C;A
71;a3;bow;subtle;a;44;C;A
72;a3;bow;heavy;s;45;C;A
73;a3;bow;subtle;a;96;C;A
74;a3;bow;subtle;a;111;C;A
75;a3;bow;gentle;a;112;C;A
76;a3;bow;heavy;s;253;C;A
77;a3;sea;pricy;s;12;C;A
78;a3;sea;early;s;27;C;A
79;a3;seb;early;s;27;C;A
80;a3;seb;heavy;s;28;C;A
81;a3;cop;early;s;234;C;A
82;a3;sta;heavy;s;16;C;A
83;a3;sta;narrow;s;19;C;A
84;a3;sta;larky;a;29;C;A
85;a3;sta;early;s;31;C;A
86;a3;sta;early;s;37;C;A
87;a3;sta;early;s;38;C;A
88;a3;stb;early;s;11;C;A
89;a3;stb;early;s;11;C;A
90;a3;stb;likely;a;28;C;A
91;a3;stb;early;s;31;C;A
92;a3;stb;common;s;39;C;A
93;a3;stb;early;s;41;C;A
94;a3;stc;early;s;30;C;A
95;a3;stc;early;s;36;C;A
96;a3;stc;early;s;42;C;A
97;a3;std;early;s;1;C;A
98;a3;std;early;s;16;C;A
99;a3;std;stately;s;32;C;A
100;a3;std;early;s;36;C;A
101;a3;std;early;s;52;C;A
102;a3;std;early;s;52;C;A
103;a3;std;dingy;s;56;C;A
104;b1;was;wealthy;s;120;C;A
105;b1;was;easy;s;274;C;A
106;b1;bow;likely;a;33;C;A
107;b1;bow;easy;s;33;C;A
108;b1;bow;subtle;a;45;C;A
109;b1;bow;subtle;a;98;C;A
110;b1;bow;easy;s;109;C;A
111;b1;bow;costly;a;152;C;A
112;b1;bow;austere;a;177;C;A
113;b1;bow;fleshy;a;208;C;A
114;b1;asil;stupid;s;174;C;A
115;b1;asil;hungry;s;179;C;A
116;b1;asil;hungry;s;214;C;A
117;b1;asil;shifty;s;233;C;A
