pattern;category;position;than_compl;definite;verb_pattern;coordinated
a1;C;attributive;1;0;0;0
a2;C;attributive;0;0;0;0
a3;C;attributive;0;1;0;0
b1;C;predicative;1;0;0;0
b2;C;predicative;0;0;0;0
c1;C;postnominal;1;0;0;0
c2;C;postnominal;0;0;0;0
c3;C;postnominal;1;0;1;0
c4;C;postnominal;0;0;1;0
d1;C;attributive;1;0;0;1
d2;C;attributive;0;0;0;1
d3;C;attributive;0;1;0;1
e1;C;predicative;1;0;0;1
e2;C;predicative;0;0;0;1
f1;C;postnominal;1;0;0;1
f2;C;postnominal;0;0;0;1
f3;C;postnominal;1;0;1;1
f4;C;postnominal;0;0;1;1
g1;C;nominalized;0;NA;0;0
g2;C;nominalized;0;NA;0;1
h1;C;attributive;0;NA;NA;NA
h2;C;predicative;0;NA;NA;NA
i1;C;NA;NA;NA;NA;NA
i2;C;NA;NA;NA;NA;NA
l;S;attributive;NA;NA;NA;0
m;S;attributive;NA;NA;NA;1
n;S;predicative;NA;NA;NA;0
o;S;predicative;NA;NA;NA;1
