id;corpus;genre;text;publication_date
WAS;A;nonfiction;L.W. Marrison, Wines and spirits;1957
TUL;B;nonfiction;R. Hoggart, The uses of literacy;1957
RAT;B;fiction;J. Braine, Room at the top;1957
HP;A;drama;Harold Pinter, The caretaker;1960
TA;B;fiction;C.P. Snow, The affair;1960
AWB;B;drama;A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem;1960
AW;A;drama;A. Wesker, Chips with everything;1962
LAT;B;fiction;J. Braine, Life at the top;1962
DR;A;drama;D. Rudkin, Afore night come;1963
GC;A;drama;G. Cooper, Everything in the garden;1963
COP;A;fiction;C.P. Snow, The corridors of power;1964
JA;B;drama;J. Arden, The bywaters of Babylon, Live like pigs, The happy haven;1964
BOW;A;nonfiction;A. Sichel, The Penguin books of wines;1965
PCE;B;nonfiction;F.V. Bywater, A proficiency course in English;1969
ASIL;A;fiction;A. Sillitoe, A start in life;1970
TBW;B;nonfiction;W.H.T. Tayleur, home brewing and wine-making;1973
STA;A;newspaper;Sunday Times, Jun 9 1974;1974
STB;A;newspaper;Sunday Times, Jun 16 1974;1974
STC;A;newspaper;Sunday Times, Jun 23 1974;1974
STD;A;newspaper;Sunday Times, Jun 30 1974;1974
SEA;A;newspaper;Sunday Express Jun 23 1974;1974
SEB;A;newspaper;Sunday Express Jun 30 1974;1974
SEC;A;newspaper;Sunday Express Jul 7 1974;1974
SMA;A;newspaper;Sunday Mirror Jun 23 1974;1974
SMB;A;newspaper;Sunday Mirror Jun 30 1974;1974
SMC;A;newspaper;Sunday Mirror Jul 7 1974;1974
