subject;proficiency;proficiency.z;word;context;correct
5;94,4;1,81;shelf;cluster;1
5;94,4;1,81;while;singleton;1
5;94,4;1,81;table;syllabic;1
5;94,4;1,81;satchel;syllabic;1
6;93,1;1,63;shelf;cluster;1
7;92,9;1,6;well;singleton;1
7;92,9;1,6;still;singleton;1
8;90,5;1,27;sell;singleton;1
8;90,5;1,27;small;singleton;1
8;90,5;1,27;while;singleton;1
8;90,5;1,27;while;singleton;1
8;90,5;1,27;Bristol;syllabic;1
8;90,5;1,27;hostel;syllabic;1
8;90,5;1,27;well;singleton;1
8;90,5;1,27;well;singleton;1
8;90,5;1,27;girls;cluster;1
8;90,5;1,27;well;singleton;1
8;90,5;1,27;all;singleton;1
8;90,5;1,27;old;cluster;1
8;90,5;1,27;hostel;syllabic;1
8;90,5;1,27;railway;singleton;1
8;90,5;1,27;hostel;syllabic;1
9;90,4;1,26;call;singleton;1
9;90,4;1,26;stolen;cluster;1
10;89,3;1,1;Bristol;syllabic;1
10;89,3;1,1;hotel;singleton;1
10;89,3;1,1;girls;cluster;0
10;89,3;1,1;old;cluster;1
10;89,3;1,1;ourself;cluster;1
10;89,3;1,1;hotel;singleton;1
10;89,3;1,1;hotel;singleton;1
11;87,8;0,9;call;singleton;1
11;87,8;0,9;Bristol;syllabic;1
11;87,8;0,9;hostel;syllabic;1
11;87,8;0,9;girls;cluster;1
11;87,8;0,9;all;singleton;1
11;87,8;0,9;ourselves;cluster;1
11;87,8;0,9;hostel;syllabic;1
11;87,8;0,9;hostel;syllabic;1
11;87,8;0,9;till;singleton;1
12;85,4;0,56;details;cluster;1
12;85,4;0,56;stole;singleton;1
13;83,5;0,3;while;singleton;1
13;83,5;0,3;small;singleton;1
14;83,1;0,25;Bristol;syllabic;0
14;83,1;0,25;hostel;syllabic;0
14;83,1;0,25;girls;cluster;0
14;83,1;0,25;all;singleton;1
14;83,1;0,25;old;cluster;0
14;83,1;0,25;self;cluster;1
15;82,1;0,11;well;singleton;1
15;82,1;0,11;table;syllabic;0
15;82,1;0,11;while;singleton;0
15;82,1;0,11;table;syllabic;0
15;82,1;0,11;well;singleton;0
15;82,1;0,11;old;cluster;0
15;82,1;0,11;school;singleton;0
15;82,1;0,11;Bristol;syllabic;1
15;82,1;0,11;hostel;syllabic;1
15;82,1;0,11;girls;cluster;0
15;82,1;0,11;all;singleton;0
15;82,1;0,11;old;cluster;0
15;82,1;0,11;also;singleton;1
15;82,1;0,11;also;singleton;0
15;82,1;0,11;ourselves;cluster;1
15;82,1;0,11;hostel;syllabic;1
15;82,1;0,11;railway;singleton;1
15;82,1;0,11;hostel;syllabic;1
17;79;-0,32;call;singleton;0
17;79;-0,32;Bristol;syllabic;0
17;79;-0,32;hostel;syllabic;1
17;79;-0,32;girls;cluster;0
17;79;-0,32;all;singleton;0
17;79;-0,32;old;cluster;0
17;79;-0,32;ourself;cluster;0
17;79;-0,32;hostel;syllabic;0
17;79;-0,32;hostel;syllabic;0
18;78,7;-0,36;tell;singleton;0
18;78,7;-0,36;people;syllabic;0
19;78,4;-0,4;well;singleton;0
19;78,4;-0,4;little;syllabic;0
19;78,4;-0,4;little;syllabic;0
19;78,4;-0,4;called;cluster;0
19;78,4;-0,4;help;cluster;0
20;78,4;-0,4;little;syllabic;0
20;78,4;-0,4;little;syllabic;0
20;78,4;-0,4;hold;cluster;0
21;77,9;-0,47;hole;singleton;0
21;77,9;-0,47;people;syllabic;0
22;77,2;-0,57;table;syllabic;0
22;77,2;-0,57;while;singleton;0
22;77,2;-0,57;help;cluster;0
23;77;-0,6;told;cluster;0
23;77;-0,6;shelf;cluster;0
23;77;-0,6;while;singleton;0
23;77;-0,6;will;singleton;1
23;77;-0,6;stolen;cluster;0
23;77;-0,6;still;singleton;1
24;77;-0,6;while;singleton;0
24;77;-0,6;Bristol;syllabic;0
24;77;-0,6;hostel;syllabic;0
24;77;-0,6;girls;cluster;0
24;77;-0,6;all;singleton;0
24;77;-0,6;old;cluster;0
24;77;-0,6;also;singleton;0
24;77;-0,6;meal;singleton;0
24;77;-0,6;ourself;cluster;0
24;77;-0,6;hostel;singleton;0
24;77;-0,6;hostel;singleton;0
25;76,1;-0,72;Bristol;syllabic;0
25;76,1;-0,72;hostel;syllabic;0
25;76,1;-0,72;old;cluster;0
25;76,1;-0,72;ourself;cluster;1
25;76,1;-0,72;meals;cluster;0
25;76,1;-0,72;hostel;syllabic;0
25;76,1;-0,72;hostel;syllabic;0
25;76,1;-0,72;hostel;syllabic;0
25;76,1;-0,72;hostel;syllabic;0
25;76,1;-0,72;capital;singleton;0
25;76,1;-0,72;capital;singleton;0
26;74,5;-0,94;hold;cluster;0
26;74,5;-0,94;hold;cluster;0
27;72,9;-1,16;satchel;syllabic;0
28;72,2;-1,26;self;cluster;0
28;72,2;-1,26;while;singleton;0
28;72,2;-1,26;self;cluster;0
28;72,2;-1,26;while;singleton;0
28;72,2;-1,26;table;syllabic;0
29;71,8;-1,32;hold;cluster;0
29;71,8;-1,32;well;singleton;0
29;71,8;-1,32;call;singleton;0
29;71,8;-1,32;Bristol;syllabic;0
29;71,8;-1,32;myself;cluster;1
29;71,8;-1,32;hostel;syllabic;0
29;71,8;-1,32;people;singleton;0
29;71,8;-1,32;girls;cluster;0
29;71,8;-1,32;all;singleton;0
29;71,8;-1,32;old;cluster;0
29;71,8;-1,32;ourself;cluster;1
29;71,8;-1,32;hostel;syllabic;0
29;71,8;-1,32;tell;singleton;1
29;71,8;-1,32;hostel;syllabic;0
29;71,8;-1,32;hostel;syllabic;0
30;69;-1,7;little;syllabic;1
30;69;-1,7;satchel;syllabic;1
30;69;-1,7;felled;cluster;0
30;69;-1,7;people;syllabic;1
